"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_773.5276",3.6625e-86,85.436,2.607e-83,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.132
"MZ_773.5281",2.2287e-85,84.652,1.4543e-82,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.349
"MZ_773.5278",3.6897e-85,84.433,2.2223e-82,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.27
"MZ_772.5228",6.7282e-84,83.172,3.763e-81,"region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.3007
"MZ_772.5255",9.3986e-83,82.027,4.906e-80,"region_1-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.4045
"MZ_773.5263",1.5566e-81,80.808,7.6177e-79,"region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.5962
"MZ_773.5282",1.6383e-80,79.786,7.5456e-78,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.276
"MZ_772.5259",3.351e-80,79.475,1.4577e-77,"region_1-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.3652
"MZ_772.5242",2.7947e-79,78.554,1.1426e-76,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.7536
"MZ_772.5241",2.9186e-79,78.535,1.1426e-76,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.7654
