"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_830.5375",3.8093e-34,33.419,2.7415e-33,"region_2-region_8; region_3-region_8; region_2-region_1; region_3-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3",1.758
"MZ_827.5659",3.8528e-34,33.414,2.7702e-33,"region_1-region_8; region_3-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_4-region_7; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",2.287
"MZ_798.5396",3.8718e-34,33.412,2.7813e-33,"region_3-region_8; region_4-region_8; region_10-region_8; region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.9556
"MZ_849.5563",4.0803e-34,33.389,2.9284e-33,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",1.27
"MZ_773.5209",4.2762e-34,33.369,3.0662e-33,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_1; region_11-region_2; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.09681
"MZ_849.5517",4.2969e-34,33.367,3.0782e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_13-region_10",1.937
"MZ_821.5261",4.3513e-34,33.361,3.1141e-33,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_12-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.6289
"MZ_800.5447",4.3549e-34,33.361,3.1141e-33,"region_1-region_8; region_3-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.424
"MZ_824.5574",4.4011e-34,33.356,3.1442e-33,"region_3-region_8; region_4-region_8; region_10-region_8; region_2-region_1; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.8685
"MZ_851.6352",4.5474e-34,33.342,3.2458e-33,"region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_7-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1463
"MZ_851.6374",4.5702e-34,33.34,3.2591e-33,"region_1-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2071
"MZ_851.6340",5.0966e-34,33.293,3.6312e-33,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.04023
"MZ_799.5345",5.337e-34,33.273,3.7989e-33,"region_1-region_8; region_7-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_4-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.98
"MZ_845.5246",5.569e-34,33.254,3.9605e-33,"region_1-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1021
"MZ_825.5524",5.6925e-34,33.245,4.0446e-33,"region_1-region_8; region_3-region_8; region_11-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_7-region_1; region_4-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.716
"MZ_825.6220",5.7447e-34,33.241,4.0781e-33,"region_3-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_11-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.466
"MZ_849.5481",5.9183e-34,33.228,4.1975e-33,"region_1-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_7-region_2; region_4-region_2; region_4-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",1.306
"MZ_872.5520",6.0035e-34,33.222,4.254e-33,"region_3-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_2; region_4-region_2; region_5-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_13-region_10",1.748
"MZ_741.5268",6.1881e-34,33.208,4.3809e-33,"region_3-region_8; region_11-region_8; region_10-region_8; region_13-region_8; region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_13-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.665
"MZ_799.5408",6.2878e-34,33.202,4.4474e-33,"region_1-region_8; region_3-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.64
"MZ_824.5570",6.53e-34,33.185,4.6146e-33,"region_3-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_3-region_2; region_11-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_4-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",1.074
"MZ_773.5229",6.783e-34,33.169,4.7891e-33,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_11-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_11-region_2; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2023
"MZ_774.5215",6.9764e-34,33.156,4.9212e-33,"region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.5765
"MZ_756.5480",7.0065e-34,33.154,4.938e-33,"region_1-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_11-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.6491
"MZ_773.5296",7.0914e-34,33.149,4.9933e-33,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_12-region_3; region_9-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.8145
"MZ_848.5560",7.2303e-34,33.141,5.0866e-33,"region_3-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.6678
"MZ_849.5543",7.7614e-34,33.11,5.4553e-33,"region_3-region_8; region_11-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_11-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.791
"MZ_826.5610",8.5473e-34,33.068,6.0022e-33,"region_1-region_8; region_3-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.173
"MZ_845.5239",9.2184e-34,33.035,6.4678e-33,"region_1-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.02588
"MZ_849.5512",9.5542e-34,33.02,6.6974e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_11-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_4-region_7; region_5-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.508
"MZ_853.6478",9.7377e-34,33.012,6.8199e-33,"region_7-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1392
"MZ_799.5377",9.7899e-34,33.009,6.8503e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12; region_13-region_9",2.224
"MZ_849.5534",9.8014e-34,33.009,6.8522e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",1.701
"MZ_821.5201",9.8492e-34,33.007,6.8795e-33,"region_7-region_8; region_4-region_8; region_10-region_8; region_4-region_1; region_5-region_1; region_13-region_1; region_7-region_2; region_4-region_2; region_10-region_2; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_13-region_11; region_4-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.7166
"MZ_848.5518",1.0208e-33,32.991,7.1238e-33,"region_3-region_8; region_11-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.406
"MZ_756.5481",1.0809e-33,32.966,7.5365e-33,"region_1-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.6787
"MZ_741.5267",1.0821e-33,32.966,7.5384e-33,"region_3-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_3-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.536
"MZ_824.5516",1.0912e-33,32.962,7.595e-33,"region_1-region_8; region_3-region_8; region_11-region_8; region_10-region_8; region_13-region_8; region_7-region_1; region_4-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.479
"MZ_800.5396",1.1431e-33,32.942,7.9487e-33,"region_1-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",2.376
"MZ_799.5374",1.1564e-33,32.937,8.0342e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.992
"MZ_821.5235",1.1797e-33,32.928,8.1888e-33,"region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_12-region_2; region_11-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_4-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.6628
"MZ_849.5523",1.2088e-33,32.918,8.3838e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",1.659
"MZ_798.5355",1.2619e-33,32.899,8.7442e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5",2.063
"MZ_825.5519",1.3696e-33,32.863,9.4821e-33,"region_1-region_8; region_3-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.515
"MZ_799.5348",1.3793e-33,32.86,9.5403e-33,"region_1-region_8; region_7-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.407
"MZ_848.5549",1.4109e-33,32.851,9.7504e-33,"region_3-region_8; region_7-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_11-region_1; region_4-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10",1.492
