"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"UDP-N-acetyl-alpha-D-glucosamine 3'-phosphate [M+K]+",466.371,348.808,388.256,918.731,1.201,0.264,0.655,0.748,0.2,-0.053
"PS(38:3) [M+H]+",60.387,80.476,64.935,43.26,0.93,-0.105,0.779,0.841,0.125,0.013
"MSI00709",271.13,18.903,1105.639,616.044,0.245,-2.028,1.54e-10,3.42e-09,2.445,0.696
"MSI00710",34.235,44.485,70.721,80.353,0.484,-1.047,0.0282,0.129,0.962,0.264
"O [M+H]+",47.599,90.479,61.247,32.677,0.777,-0.364,0.425,0.574,0.356,0.103
"Lecithin [M+NH4]+_7",43.603,37.05,57.434,22.916,0.759,-0.397,0.0774,0.236,0.78,0.212
"Trichloronat [M+K]+",1326.294,88.714,491.852,753.094,2.696,1.431,4.62e-08,7.43e-07,2.174,-0.618
"MSI00714",404.595,167.999,66.579,45.489,6.077,2.603,3.48e-16,4.04e-14,2.85,-0.812
"C1 [M+NH4]+",29.32,42.602,69.881,49.842,0.42,-1.253,0.000869,0.00658,1.424,0.408
"O3 [M+H-H2O]+",93.585,49.525,70.335,83.723,1.331,0.412,0.181,0.359,0.593,-0.174
"Monteban [M]+",102.043,6.825,75.079,103.83,1.359,0.443,0.148,0.321,0.642,-0.15
"12-NBD-PC [M]+",37.024,15.049,72.273,56.442,0.512,-0.965,0.00114,0.00842,1.395,0.403
"MSI00719",25.775,52.452,57.434,22.916,0.449,-1.156,0.00267,0.0177,1.295,0.369
"4-Methyl-5-nitrocatechol [M]+",78.399,78.145,131.625,183.454,0.596,-0.748,0.136,0.31,0.66,0.185
"19356-17-3 [M+H]+",111.891,11.483,57.434,22.916,1.948,0.962,7.66e-18,1.42e-15,2.933,-0.832
"1'-(beta-D-Glucopyranosyloxy)-3,4,3',4'-tetradeh... [M]+",59.049,75.054,123.073,109.117,0.48,-1.06,0.00813,0.0473,1.15,0.322
"MSI00723",108.341,123.251,209.331,461.123,0.518,-0.95,0.236,0.41,0.527,0.144
"Staphidine [M+H]+",22.864,19.812,61.674,35.164,0.371,-1.432,9.62e-07,1.25e-05,1.993,0.566
"8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetra... [M]+",18.257,15.292,63.827,44.033,0.286,-1.806,6.81e-07,9.03e-06,2.015,0.597
"MSI00726",31.875,20.422,261.73,215.036,0.122,-3.038,1.03e-07,1.55e-06,2.129,0.613
"Cyenopyrafen [M]+",126.496,101.251,85.832,134.761,1.474,0.56,0.177,0.354,0.599,-0.187
"Cyclopentenylcytosine 6-triphosphate [M]+",200.562,66.52,320.185,422.893,0.626,-0.675,0.119,0.292,0.69,0.206
"dTDP-beta-L-rhodinose [M]+",25.769,27.939,57.434,22.916,0.449,-1.156,5.85e-06,6.6e-05,1.868,0.536
"(-)-Acanthocarpan [M+Na]+",36.591,42.21,95.92,86.72,0.381,-1.39,0.000924,0.00696,1.417,0.414
"Liquiritin [M+NH4]+",350.147,150.375,187.582,525.234,1.867,0.9,0.0974,0.267,0.733,-0.227
"alpha-Solanine [M+H]+",66.567,47.084,64.32,35.818,1.035,0.05,0.831,0.881,0.096,-0.046
"TG(54:10) [M+H]+",71.953,71.025,60.148,25.066,1.196,0.259,0.379,0.534,0.392,-0.124
"Cyproterone acetate [M+Na]+",100.835,87.626,81.853,139.711,1.232,0.301,0.517,0.638,0.289,-0.087
"MSI00735",64.167,118.307,62.939,30.032,1.02,0.028,0.955,0.97,0.025,-0.009
"Zeaxanthin monopalmitate [M+H]+",104.573,6.995,160.425,209.087,0.652,-0.617,0.136,0.31,0.66,0.193
"MSI00737",90.831,9.87,277.964,211.689,0.327,-1.614,5.08e-06,5.8e-05,1.878,0.544
"MSI00738",126.023,172.4,176.876,413.448,0.712,-0.489,0.523,0.643,0.285,0.078
"EDTA [M-H2O+NH4]+",190.753,55.351,75.693,73.96,2.52,1.333,1.79e-09,3.39e-08,2.338,-0.675
"Cassaidine [M+H]+",34.025,69.43,100.125,240.026,0.34,-1.557,0.14,0.313,0.655,0.19
"Davallioside A [M+NH4]+",43.15,78.28,73.91,50.028,0.584,-0.776,0.0658,0.219,0.811,0.221
"MSI00742",29.752,64.935,57.434,22.916,0.518,-0.949,0.0264,0.124,0.973,0.271
"MSI00743",146.844,161.16,138.084,194.699,1.063,0.089,0.845,0.89,0.087,-0.03
"O3 [M]+_10",41.32,78.992,70.785,52.682,0.584,-0.777,0.0841,0.247,0.763,0.22
"5'-Phosphoguanylyl(3'->5')guanosine [M+NH4]+",437.201,362.069,225.721,460.944,1.937,0.954,0.0455,0.175,0.88,-0.263
"MSI00746",132.776,153.824,196.606,472.246,0.675,-0.566,0.47,0.602,0.322,0.092
"MSI00747",1250.696,83.657,293.092,606.81,4.267,2.093,1.38e-12,4.16e-11,2.619,-0.755
"militarinone B [M+NH4]+",133.722,181.368,131.09,329.584,1.02,0.029,0.969,0.979,0.018,0.027
"MSI00749",186.766,11.726,709.62,518.971,0.263,-1.926,3.59e-07,4.94e-06,2.055,0.583
"PG(34:1) [M+Na]+",36.006,36.905,62.241,37.67,0.578,-0.79,0.00654,0.0393,1.18,0.344
"Potassium sulphite [M+H-H2O]+",83.243,86.187,125.591,166.523,0.663,-0.593,0.206,0.384,0.562,0.16
"MSI00752",90.219,112.634,179.456,441.373,0.503,-0.992,0.272,0.443,0.489,0.151
"6k-Prostaglandin F1alpha-d4 [M+Na]+",132.883,98.296,74.99,60.284,1.772,0.825,0.00609,0.037,1.19,-0.35
"2,3-Bis-O-(geranylgeranyl)glycerol 1-phosphate [M]+",223.82,123.315,91.312,78.098,2.451,1.294,3.02e-06,3.63e-05,1.915,-0.555
"Nonactin [M+H]+",44.127,39.077,77.537,69.965,0.569,-0.813,0.0215,0.108,1.006,0.283
"1 [M+H-2H2O]+",257.296,47.842,73.17,46.095,3.516,1.814,3.01e-23,7.17e-21,3.133,-0.892
"PS(42:0) [M+NH4]+",17.94,19.081,62.979,39.842,0.285,-1.812,2.74e-07,3.87e-06,2.072,0.598
"Homostachydrine [M+Na]+",270.049,112.346,58.511,22.06,4.615,2.206,2.63e-15,1.93e-13,2.8,-0.798
"Xestosteryl 18-bromooctadeca-9E,17E-diene-5,7,15... [M+Na]+",27.557,42.921,80.536,132.37,0.342,-1.547,0.0352,0.149,0.925,0.271
"Lecithin [M]+_14",12.881,7.355,59.586,23.839,0.216,-2.21,1.55e-15,1.32e-13,2.814,0.803
"cyanocob(II)inamide [M]+",46.457,3.035,68.517,53.292,0.678,-0.561,0.0226,0.112,0.998,0.285
"Cycloserine [M]+",102.692,105.637,193.37,368.582,0.531,-0.913,0.186,0.364,0.587,0.17
"2-carboxy-cis,cis-muconic acid [M]+",250.226,175.572,94.625,174.693,2.644,1.403,0.000733,0.00565,1.442,-0.411
"2-(alpha-D-mannosyl)-D-glyceric acid [M+H]+",188.852,163.089,57.434,22.916,3.288,1.717,2.9e-05,0.000303,1.744,-0.509
"488-41-5 [M-H2O+NH4]+",40.409,62.218,118.124,308.649,0.342,-1.548,0.168,0.343,0.612,0.165
"Halosulfuron-methyl [M+H]+",32.596,50.172,68.804,46.099,0.474,-1.078,0.00382,0.0244,1.251,0.358
"Cortolone-3-glucuronide [M+NH4]+",27.671,47.484,62.43,36.877,0.443,-1.174,0.00176,0.0123,1.345,0.382
"MSI00768",69.389,67.025,95.821,177.989,0.724,-0.466,0.435,0.58,0.348,0.094
"2,12,14,16,17-pentachlorotetracosane-1,15-disulf... [M+H]+",16.281,10.339,76.371,115.437,0.213,-2.23,0.0047,0.0294,1.224,0.34
"Lecithin [M]+_15",115.669,30.311,88.397,113.88,1.308,0.388,0.195,0.373,0.575,-0.177
"Glaucolide B [M]+",1275.453,124.175,606.343,1729.394,2.103,1.073,0.0328,0.143,0.937,-0.269
"1-Nonanol, 4,4,5,5,6,6,7,7,8,8,9,9,9-tridecafluo... [M+H-H2O]+",26.771,53.16,62.142,37.958,0.431,-1.215,0.00324,0.0211,1.271,0.371
"4'-O-Demethylrebeccamycin [M+H]+",110.042,57.603,170.418,138.467,0.646,-0.631,0.0262,0.124,0.974,0.294
"Z-Arg-Arg-NHMec [M+K]+",40.699,79.159,70.785,52.682,0.575,-0.798,0.0784,0.237,0.777,0.224
"PG O-35:3 [M+H]+",149.938,30.469,57.434,22.916,2.611,1.384,1.86e-20,4.05e-18,3.041,-0.865
"C.I. 27755 [M+NH4]+",21.597,41.162,67.161,53.588,0.322,-1.637,0.000317,0.00273,1.529,0.447
"PG O-42:7 [M]+",184.209,73.249,62.84,38.72,2.931,1.552,1.26e-11,3.08e-10,2.542,-0.736
"MSI00778",51.69,79.937,209.085,386.542,0.247,-2.016,0.0276,0.128,0.966,0.278
"MSI00779",81.852,99.249,337.584,385.09,0.242,-2.044,0.000561,0.00451,1.47,0.424
"MSI00780",79.515,5.319,363.545,158.375,0.219,-2.193,8.72e-15,5.13e-13,2.769,0.79
"PS(20:4(8Z,11Z,14Z,17Z)-2OH(5S,6R)/14:1(9Z)) [M]+",50.422,61.407,75.042,57.23,0.672,-0.574,0.102,0.272,0.723,0.193
"demethylmenaquinol-11 [M+H-2H2O]+",41.704,22.69,57.434,22.916,0.726,-0.462,0.00761,0.0449,1.159,0.325
"MSI00783",121.145,145.068,160.39,334.251,0.755,-0.405,0.545,0.659,0.27,0.069
"MSI00784",124.272,145.962,230.52,517.127,0.539,-0.891,0.268,0.44,0.493,0.14
"MSI00785",290.953,19.461,57.434,22.916,5.066,2.341,1.96e-48,4.91e-45,3.451,-0.978
"5-hydroxy-CTP [M+H]+",28.071,34.583,66.001,42.095,0.425,-1.233,0.00021,0.00188,1.568,0.459
"Tetracenomycin X [M+Na]+",18.013,23.098,70.425,42.961,0.256,-1.967,8.2e-08,1.26e-06,2.142,0.6
"malonylapiin [M+H-2H2O]+",18.515,22.669,76.779,62.38,0.241,-2.052,5.66e-06,6.41e-05,1.87,0.548
"1-eicsoic acid [M+H]+_1",213.065,174.267,86.937,92.71,2.451,1.293,0.000605,0.00479,1.463,-0.429
"C5H11NO3S [M+H]+",270.479,111.343,60.704,24.906,4.456,2.156,3.2e-15,2.19e-13,2.795,-0.797
"MSI00791",834.372,61.188,1024.072,1403.267,0.815,-0.296,0.448,0.586,0.339,0.112
"Glaucarubol 15-O-beta-D-glucopyranoside [M]+",32.468,25.79,96.36,94.114,0.337,-1.569,0.000454,0.00377,1.492,0.425
"MSI00793",138.771,156.307,98.075,125.001,1.415,0.501,0.254,0.428,0.507,-0.128
"MSI00794",81.295,100.501,109.607,150.758,0.742,-0.431,0.38,0.535,0.391,0.115
"MSI00795",85.544,123.438,75.696,51.242,1.13,0.176,0.678,0.766,0.185,-0.044
"2-furoate [M]+",78.107,112,108.063,142.9,0.723,-0.468,0.354,0.512,0.413,0.096
"MSI00797",159.082,102.561,57.434,22.916,2.77,1.47,8.52e-07,1.11e-05,2.001,-0.591
"MSI00798",36.492,91.159,57.434,22.916,0.635,-0.654,0.212,0.391,0.554,0.163
"DSSTox_R [M]+",123.809,122.419,137.931,320.671,0.898,-0.156,0.817,0.871,0.104,0.014
"MSI00800",77.686,85.475,105.622,187.969,0.736,-0.443,0.447,0.586,0.339,0.093
"MSI00801",78.621,96.483,183.968,380.974,0.427,-1.226,0.135,0.308,0.663,0.189
"MSI00802",77.901,106.773,97.29,148.045,0.801,-0.321,0.55,0.663,0.267,0.09
"MSI00803",58.382,93.529,112.79,200.034,0.518,-0.95,0.168,0.344,0.611,0.168
"5,5-Difluoro-5-(perfluorobutoxyethoxy)-1-pentano... [M-H2O+NH4]+",26.844,28.575,86.505,95.009,0.31,-1.688,0.00118,0.00872,1.39,0.4
"MSI00805",65.884,5.054,115.507,118.413,0.57,-0.81,0.021,0.106,1.01,0.302
"MSI00806",39.283,39.025,57.434,22.916,0.684,-0.548,0.0268,0.125,0.971,0.268
"ethanolamine [M+K]+",68.707,78.202,241.943,500.885,0.284,-1.816,0.0578,0.205,0.836,0.23
"MSI00808",51.95,60.735,215.643,336.945,0.241,-2.054,0.00882,0.0507,1.139,0.328
"L [M+NH4]+",102.129,58.941,125.35,187.149,0.815,-0.296,0.506,0.631,0.297,0.088
"Indigotindisulfonate sodium [M+Na]+",19.13,41.72,60.643,30.38,0.315,-1.665,2.55e-05,0.000268,1.754,0.507
"PE(38:2) [M+NH4]+",102.482,114.851,57.434,22.916,1.784,0.835,0.0334,0.144,0.934,-0.28
"O3 [M]+_11",95.678,61.112,168.819,142.334,0.567,-0.819,0.00964,0.0547,1.126,0.323
"PI 37:5 [M]+",37.269,15.101,72.273,56.442,0.516,-0.956,0.00122,0.009,1.386,0.4
"MSI00814",141.547,122.039,115.681,190.104,1.224,0.291,0.52,0.64,0.287,-0.084
"MSI00815",116.2,121.009,129.675,320.287,0.896,-0.158,0.825,0.876,0.099,0.017
"MSI00816",83.846,101.811,118.064,170.466,0.71,-0.494,0.333,0.496,0.431,0.106
"MSI00817",115.14,140.262,157.87,340.999,0.729,-0.455,0.515,0.636,0.291,0.08
"carbononitridic bromide [M+H]+",50.355,70.784,125.629,223.548,0.401,-1.319,0.0742,0.23,0.788,0.226
"MSI00819",80.691,135.687,207.912,463.197,0.388,-1.365,0.141,0.314,0.652,0.174
"PG 32:4 [M]+",20.039,12.931,70.171,56.87,0.286,-1.808,8.28e-06,9.26e-05,1.842,0.524
"Ginsenoside-Rg1 [M+H-2H2O]+",232.074,105.585,70.019,61.005,3.314,1.729,2.72e-10,5.84e-09,2.421,-0.706
"MSI00822",84.517,101.384,118.064,170.466,0.716,-0.482,0.342,0.503,0.423,0.103
"MSI00823",102.269,120.353,178.158,356.103,0.574,-0.801,0.258,0.43,0.503,0.125
"Levothyroxine sodium anhydrous [M+NH4]+",112.472,60.18,158.486,252.658,0.71,-0.495,0.32,0.484,0.443,0.131
"MSI00825",92.146,129.23,241.706,505.563,0.381,-1.391,0.11,0.282,0.707,0.187
"MSI00826",91.391,130.761,186.42,355.562,0.49,-1.028,0.161,0.336,0.622,0.172
"MSI00827",101.525,135.393,158.078,335.143,0.642,-0.639,0.38,0.534,0.392,0.104
"MSI00828",68.173,81.709,139.278,202.149,0.489,-1.031,0.0698,0.223,0.8,0.241
"MSI00829",91.512,95.84,85.793,52.169,1.067,0.093,0.768,0.832,0.132,-0.055
"MSI00830",81.397,98.484,134.116,301.672,0.607,-0.72,0.351,0.509,0.416,0.104
"Hexamethylene tetramine [M+H-2H2O]+",145.523,112.167,191.581,394.25,0.76,-0.397,0.527,0.647,0.282,0.083
"1,5-Dihydroxy-3-oxapentane [M+H]+",79.67,88.827,108.03,170.783,0.737,-0.439,0.408,0.559,0.369,0.123
"MSI00833",67.434,69.545,87.863,150.876,0.768,-0.382,0.489,0.618,0.308,0.086
"MSI00834",106.902,133.423,147.317,311.47,0.726,-0.463,0.502,0.628,0.299,0.089
"UTP [M+K]+",15.473,9.434,57.434,22.916,0.269,-1.892,7.67e-14,3.2e-12,2.708,0.77
"MSI00836",93.585,49.525,70.335,83.723,1.331,0.412,0.181,0.359,0.593,-0.174
"(2-{[(2S,3R,4E)-2-[(5Z)-7-[(2R,3S,4S)-4,6-dihydr... [M]+",125.93,98.688,57.434,22.916,2.193,1.133,0.000307,0.00265,1.532,-0.427
"MSI00838",88.853,131.78,186.42,355.562,0.477,-1.069,0.151,0.324,0.637,0.176
"MSI00839",118.255,142.464,117.866,175.181,1.003,0.005,0.992,0.995,0.004,0.001
"MSI00840",117.177,122.365,224.07,464.838,0.523,-0.935,0.213,0.391,0.553,0.156
"MSI00841",123.915,138.487,195.558,434.23,0.634,-0.658,0.377,0.533,0.393,0.107
"MSI00842",85.726,106.302,149.881,274.172,0.572,-0.806,0.222,0.4,0.543,0.149
"MSI00843",80.741,89.758,206.11,412.014,0.392,-1.352,0.0976,0.267,0.732,0.207
"MSI00844",63.956,120.354,153.924,328.318,0.416,-1.267,0.151,0.324,0.637,0.187
"MSI00845",133.204,166.51,247.479,505.852,0.538,-0.894,0.229,0.405,0.534,0.146
"MSI00846",180.464,15.822,663.567,431.235,0.272,-1.879,3.02e-08,5.04e-07,2.197,0.621
"26-hydroxybrassinolide [M]+",197.336,79.238,86.532,131.023,2.28,1.189,0.000125,0.00116,1.617,-0.443
"MSI00848",60.263,45.278,213.053,320.02,0.283,-1.822,0.00957,0.0545,1.127,0.329
"Lotilaner [M+K]+",42.473,51.336,66.16,41.616,0.642,-0.639,0.0469,0.178,0.874,0.246
"Lecithin [M-H2O+NH4]+_3",124.883,16.282,502.228,235.44,0.249,-2.008,6.23e-13,2.13e-11,2.644,0.763
"Lecithin [M+H]+_5",32.462,60.139,63.241,42.318,0.513,-0.962,0.021,0.106,1.01,0.29
"Allyl isothiocyanate [M+H]+",77.881,103.409,71.155,50.052,1.095,0.13,0.742,0.813,0.147,-0.038
"MSI00853",119.775,147.96,192.672,472.51,0.622,-0.686,0.408,0.559,0.369,0.104
"MSI00854",68.452,77.46,163.117,280.435,0.42,-1.253,0.0705,0.224,0.798,0.231
"MSI00855",102.138,120.437,178.158,356.103,0.573,-0.803,0.257,0.429,0.504,0.126
"bromonium [M+Na]+",36.092,23.656,270.679,226.623,0.133,-2.907,2.2e-07,3.18e-06,2.085,0.601
"MSI00857",72.538,104.422,173.776,350.83,0.417,-1.26,0.123,0.297,0.683,0.188
"MSI00858",61.353,81.248,125.476,259.903,0.489,-1.032,0.188,0.366,0.585,0.166
"PG O-34:1 [M]+",261.881,17.517,1008.643,574.974,0.26,-1.945,5.46e-10,1.11e-08,2.391,0.683
"Koryoginsenoside R1 [M]+",66.567,47.084,64.32,35.818,1.035,0.05,0.831,0.881,0.096,-0.046
"PGP(LTE4/i-12:0) [M+K]+",39.343,49.913,67.754,52.306,0.581,-0.784,0.0299,0.134,0.953,0.278
"MSI00862",84.088,136.847,285.538,547.424,0.294,-1.764,0.0478,0.18,0.871,0.252
"MSI00863",103.049,117.29,199.589,423.55,0.516,-0.954,0.219,0.397,0.546,0.15
"MSI00864",102.24,101.698,155.496,307.615,0.658,-0.605,0.356,0.514,0.411,0.101
"MSI00865",80.711,104.456,240.161,474.415,0.336,-1.573,0.0681,0.222,0.805,0.23
"MSI00866",81.405,92.923,88.241,53.123,0.923,-0.116,0.719,0.796,0.161,0.03
"MSI00867",65.666,71.112,230.372,345.005,0.285,-1.811,0.0103,0.0577,1.116,0.327
"MSI00868",128.022,171.094,183.947,417.643,0.696,-0.523,0.486,0.615,0.311,0.086
"MSI00869",86.478,118.696,178.555,364.065,0.484,-1.046,0.179,0.356,0.597,0.164
"MSI00870",84.026,121.584,97.29,148.045,0.864,-0.211,0.697,0.779,0.174,0.064
"MSI00871",119.496,138.885,125.447,224.283,0.953,-0.07,0.899,0.929,0.057,0.022
"MSI00872",62.496,99.887,97.398,118.817,0.642,-0.64,0.208,0.386,0.559,0.16
"Acrylamide [M+K]+",87.306,115.745,154.639,442.561,0.565,-0.825,0.408,0.559,0.369,0.107
"2-amino-3-(phosphomethylphosphinyl)propanoate [M+Na]+",298.712,25.669,1113.649,580.416,0.268,-1.899,5.13e-11,1.18e-09,2.489,0.704
"MSI00875",64.391,74.684,126.55,107.973,0.509,-0.975,0.00946,0.054,1.129,0.314
"PIM1 31:0 [M+Na]+",24.306,40.177,73.32,73.651,0.332,-1.593,0.00158,0.0112,1.357,0.382
"MSI00877",94.958,140.243,216.028,498.561,0.44,-1.186,0.191,0.369,0.581,0.15
"MSI00878",46.806,46.596,111.573,187.025,0.42,-1.253,0.062,0.214,0.823,0.236
"MSI00879",102.536,114.551,199.589,423.55,0.514,-0.961,0.216,0.393,0.55,0.151
"MSI00880",85.349,118.608,300.845,558.053,0.284,-1.818,0.0366,0.153,0.918,0.265
"MSI00881",91.366,123.331,200.538,496.82,0.456,-1.134,0.232,0.407,0.531,0.159
"MSI00882",89.684,106.261,108.677,149.38,0.825,-0.277,0.56,0.67,0.26,0.077
"MSI00883",113.2,166.402,60.712,30.588,1.864,0.899,0.0842,0.247,0.763,-0.202
"MSI00884",109.299,125.237,129.082,223.439,0.847,-0.24,0.664,0.754,0.194,0.059
"MSI00885",90.562,94.653,166.27,331.964,0.545,-0.877,0.219,0.398,0.546,0.155
"MSI00886",95.686,109.338,150.784,296.784,0.635,-0.656,0.328,0.492,0.435,0.121
"MSI00887",66.493,121.453,226.281,492.989,0.294,-1.767,0.0799,0.24,0.773,0.217
"MSI00888",85.561,110.1,60.893,31.747,1.405,0.491,0.228,0.405,0.536,-0.142
"Specionin [M]+",716.054,54.781,354.8,634.767,2.018,1.013,0.00212,0.0145,1.323,-0.366
"GlcCer(t21:1(13cy3)/22:1(16E)(2OH[S],15OOH)) [M]+",103.934,76.899,57.434,22.916,1.81,0.856,0.00172,0.012,1.348,-0.394
"MSI00891",68.37,100.169,171.366,299.525,0.399,-1.326,0.0698,0.223,0.8,0.222
"MSI00892",61.209,83.563,105.983,158.762,0.578,-0.792,0.163,0.338,0.619,0.181
"MSI00893",44.989,69.909,115.991,273.891,0.388,-1.366,0.16,0.335,0.623,0.184
"MSI00894",102.559,136.325,276.315,634.594,0.371,-1.43,0.135,0.309,0.662,0.179
"MSI00895",85.77,118.567,300.845,558.053,0.285,-1.81,0.0369,0.153,0.916,0.265
"MSI00896",114.859,140.142,230.52,517.127,0.498,-1.005,0.227,0.404,0.537,0.151
"MSI00897",73.604,84.528,209.956,366.316,0.351,-1.512,0.0444,0.172,0.884,0.254
"MSI00898",56.963,75.248,140.122,202.222,0.407,-1.299,0.033,0.144,0.936,0.284
"MSI00899",66.675,76.192,182.307,346.655,0.366,-1.451,0.0701,0.223,0.799,0.227
"MSI00900",97.234,132.901,224.031,520.191,0.434,-1.204,0.186,0.365,0.586,0.195
"MSI00901",87.909,153.79,158.758,514.128,0.554,-0.853,0.458,0.594,0.331,0.101
"MSI00902",73.968,79.544,151.623,315.017,0.488,-1.036,0.181,0.359,0.593,0.163
"erythro-4-hydroxy-L-glutamate(1-) [M+Na]+",87.595,156.182,61.996,35.589,1.413,0.499,0.369,0.526,0.4,-0.101
"1-Propene, 2,3,3,3-tetrachloro- [M+Na]+",16.551,12.515,142.662,247.034,0.116,-3.108,0.00539,0.0332,1.206,0.341
"Glucoiberin [M]+",2165.361,144.837,2151.633,1622.209,1.006,0.009,0.962,0.975,0.021,-0.015
"3-Hydroxy-L-tyrosyl-AMP [M+H-2H2O]+",16.82,18.061,57.434,22.916,0.293,-1.772,6.54e-11,1.49e-09,2.479,0.709
"Ouabain [M+Na]+",93.093,92.931,60.395,26.836,1.541,0.624,0.0605,0.211,0.827,-0.238
"Silphioside F [M+NH4]+",26.182,34.092,112.17,198.87,0.233,-2.099,0.0189,0.0977,1.026,0.319
"MSI00909",68.805,94.5,57.434,22.916,1.198,0.261,0.511,0.634,0.294,-0.105
"MSI00910",75.904,81.846,57.434,22.916,1.322,0.402,0.224,0.401,0.541,-0.162
"Stabilizer RBA [M-H2O+NH4]+",48.116,62.545,57.434,22.916,0.838,-0.255,0.432,0.579,0.351,0.093
"MSI00912",23.297,49.997,57.434,22.916,0.406,-1.302,0.000838,0.00638,1.428,0.392
"MSI00913",100.107,114.436,77.322,54.785,1.295,0.373,0.314,0.48,0.449,-0.123
"MSI00914",53.045,91.936,157.224,375.401,0.337,-1.567,0.132,0.307,0.667,0.188
"Potassium bicarbonate [M+H]+",74.034,83.191,105.622,187.969,0.701,-0.513,0.388,0.542,0.385,0.106
"CHEBI: [M+K]+",104.637,140.583,168.472,404.833,0.621,-0.687,0.403,0.554,0.373,0.109
"MSI00917",90.002,107.04,258.146,542.204,0.349,-1.52,0.0902,0.257,0.749,0.206
"MSI00918",60.418,78.574,93.424,105.449,0.647,-0.629,0.161,0.336,0.622,0.179
"MSI00919",75.291,91.472,93.424,105.449,0.806,-0.311,0.465,0.598,0.326,0.098
"MSI00920",117.509,129.806,184.135,458.265,0.638,-0.648,0.432,0.579,0.351,0.099
"MSI00921",133.73,128.945,111.161,218.559,1.203,0.267,0.617,0.719,0.224,-0.064
"MSI00922",114.239,135.231,195.558,434.23,0.584,-0.776,0.316,0.482,0.447,0.121
"MSI00923",67.084,72.21,231.217,358.785,0.29,-1.785,0.0137,0.0743,1.075,0.31
"Se [M+Na]+",101.656,119.348,266.061,560.847,0.382,-1.388,0.11,0.282,0.707,0.206
"MSI00925",55.03,75.649,140.122,202.222,0.393,-1.348,0.0294,0.133,0.955,0.29
"MSI00926",61.501,75.888,118.308,170.113,0.52,-0.944,0.0895,0.255,0.75,0.228
"MSI00927",71.153,95.512,93.845,147.427,0.758,-0.399,0.468,0.6,0.324,0.101
"MSI00928",54.808,71.297,79.502,55.332,0.689,-0.537,0.127,0.3,0.676,0.202
"glycerate [M]+",121.899,89.038,200.818,369.12,0.607,-0.72,0.244,0.417,0.518,0.17
"Allophanic acid [M+H]+",131.032,101.158,221.892,426.192,0.591,-0.76,0.245,0.418,0.517,0.17
"MSI00931",94.125,146.936,184.709,431.986,0.51,-0.973,0.266,0.438,0.495,0.135
"MSI00932",81.519,91.558,122.571,268.04,0.665,-0.588,0.415,0.566,0.363,0.1
"MSI00933",104.131,122.444,85.321,68.627,1.22,0.287,0.451,0.59,0.336,-0.079
"MSI00934",106.259,120.083,105.157,167.698,1.01,0.015,0.976,0.984,0.013,-0.008
"MSI00935",87.14,114.395,121.198,259.907,0.719,-0.476,0.5,0.626,0.301,0.076
"MSI00936",87.302,110.544,60.893,31.747,1.434,0.52,0.199,0.376,0.571,-0.16
"MSI00937",63.145,71.646,153.919,330.341,0.41,-1.285,0.134,0.307,0.664,0.178
"MSI00938",95.529,153.744,81.373,55.791,1.174,0.231,0.626,0.726,0.218,-0.067
"C22H44 [M+NH4]+",269.842,238.478,235.302,892.696,1.147,0.198,0.833,0.883,0.094,-0.017
"cADPRP [M+H]+",34.235,44.485,70.721,80.353,0.484,-1.047,0.0282,0.129,0.962,0.264
"PA 35:4 [M]+",19.229,15.178,64.347,31.014,0.299,-1.743,4.5e-10,9.26e-09,2.4,0.69
"Sphingomyelin [M+Na]+",179.038,106.333,86.103,88.92,2.079,1.056,0.00034,0.00291,1.521,-0.449
"MSI00943",59.771,87.765,123.188,177.335,0.485,-1.043,0.0747,0.231,0.787,0.224
"MSI00944",63.554,90.045,143.539,363.416,0.443,-1.175,0.231,0.406,0.532,0.154
"MSI00945",51.5,79.989,209.085,386.542,0.246,-2.022,0.0275,0.127,0.967,0.279
"22059-21-8 [M]+",99.888,152.194,76.125,64.511,1.312,0.392,0.419,0.569,0.36,-0.101
"80-59-1 [M+H]+",89.232,139.19,143.606,389.681,0.621,-0.686,0.46,0.595,0.33,0.091
"MSI00948",132.108,154.359,146.111,207.487,0.904,-0.145,0.76,0.828,0.136,0.03
"MSI00949",131.509,154.648,78.286,67.208,1.68,0.748,0.0791,0.239,0.775,-0.207
"MSI00950",137.84,147.648,153.882,358.22,0.896,-0.159,0.816,0.87,0.104,0.006
"MSI00951",100.81,128.031,200.538,496.82,0.503,-0.992,0.276,0.446,0.485,0.145
"MSI00952",75.931,95.797,265.771,507.27,0.286,-1.807,0.0416,0.166,0.896,0.249
"MSI00953",61.669,73.268,75.696,51.242,0.815,-0.296,0.378,0.534,0.393,0.12
"MSI00954",134.38,162.95,116.058,199.446,1.158,0.211,0.689,0.773,0.179,-0.049
"MSI00955",58.717,83.278,139.261,241.953,0.422,-1.246,0.0799,0.24,0.773,0.227
"Choline [M+H]+",139.129,116.432,181.722,387.858,0.766,-0.385,0.554,0.666,0.264,0.078
"MSI00957",86.562,125.435,137.34,370.975,0.63,-0.666,0.466,0.599,0.325,0.093
"MSI00958",64.025,77.657,115.83,200.331,0.553,-0.855,0.178,0.354,0.598,0.175
