"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"2alpha,3alpha-(Difluoromethylene)-5alpha-androst... [M]+",167.261,76.192,218.799,312.832,0.764,-0.388,0.369,0.525,0.4,0.114
"4- [M+K]+",356.085,175.887,823.826,1237.025,0.432,-1.21,0.0382,0.157,0.911,0.272
"MSI00309",119.265,88.305,236.883,404.101,0.503,-0.99,0.113,0.286,0.702,0.206
"MSI00310",54.812,91.525,91.796,191.394,0.597,-0.744,0.328,0.491,0.436,0.131
"71-00-1 [M+H]+",577.169,55.853,483.179,738.187,1.194,0.256,0.475,0.606,0.318,-0.081
"MSI00312",164.761,27.603,449.284,306.898,0.367,-1.447,2.17e-06,2.73e-05,1.938,0.564
"MSI00313",171.139,98.943,90.984,103.627,1.881,0.911,0.00241,0.0162,1.307,-0.386
"MSI00314",19.035,15.44,67.474,65.144,0.282,-1.826,0.000125,0.00116,1.617,0.457
"MSI00315",104.804,7.01,82.87,71.009,1.265,0.339,0.087,0.251,0.756,-0.206
"MSI00316",95.026,7.347,66.174,30.505,1.436,0.522,2.36e-06,2.93e-05,1.932,-0.553
"XTP(3-) [M+H-2H2O]+",45.257,86.307,211.355,245.529,0.214,-2.224,0.000613,0.00484,1.461,0.432
"3633-59-8 [M+K]+",438.529,309.465,674.236,892.104,0.65,-0.621,0.163,0.338,0.619,0.177
"PI O-38:3 [M+K]+",149.137,93.782,63.334,43.565,2.355,1.236,1.53e-05,0.000164,1.795,-0.524
"Lecithin [M]+_6",17.94,19.081,62.979,39.842,0.285,-1.812,2.74e-07,3.87e-06,2.072,0.598
"Adiantifoline [M]+",148.601,146.718,578.398,702.169,0.257,-1.961,0.00122,0.009,1.386,0.393
"Mycolactone C [M+NH4]+",81.108,5.425,70.391,49.827,1.152,0.204,0.231,0.406,0.532,-0.146
"MSI00323",257.766,47.4,73.17,46.095,3.523,1.817,2.09e-23,5.22e-21,3.138,-0.893
"4-[1,1-Dioxo-3-(2,3,4-trihydroxyphenyl)-2,1lambd... [M+Na]+",142.518,75.062,252.318,362.16,0.565,-0.824,0.0981,0.268,0.731,0.22
"Sphingomyelin [M+H]+",307.731,131.03,231.142,400.698,1.331,0.413,0.308,0.475,0.454,-0.099
"2-amino-N-{3-[4-(3-{2-amino-5-[(diaminomethylide... [M+K]+",348.13,112.514,124.743,382.08,2.791,1.481,0.00235,0.0159,1.31,-0.377
"Catechin 7-O-beta-D-xyloside [M+Na]+",41.272,87.459,68.693,39.489,0.601,-0.735,0.111,0.283,0.705,0.203
"Lecithin [M+NH4]+_3",69.708,42.608,100.311,142.414,0.695,-0.525,0.249,0.422,0.513,0.168
"Lecithin [M]+_7",118.347,57.534,57.434,22.916,2.061,1.043,5.99e-07,8.05e-06,2.023,-0.594
"Dichlorphenamide [M]+",102.753,44.071,214.012,239.645,0.48,-1.058,0.0122,0.0666,1.093,0.317
"Sphingomyelin [M+H]+_1",215.724,35.774,165.678,274.288,1.302,0.381,0.31,0.477,0.452,-0.11
"Bastaxanthin F [M+NH4]+",91.714,67.134,340.996,373.207,0.269,-1.895,0.000433,0.00361,1.497,0.414
"MSI00333",131.667,85.819,129.024,229.335,1.02,0.029,0.952,0.968,0.027,-0.018
"MSI00334",124.126,67.154,76.879,109.833,1.615,0.691,0.042,0.166,0.894,-0.258
"A 80987 [M+H-2H2O]+",68.148,30.668,104.931,76.658,0.649,-0.623,0.0143,0.0772,1.069,0.33
"Steviobioside [M+NH4]+",41.32,78.992,70.785,52.682,0.584,-0.777,0.0841,0.247,0.763,0.22
"(5-Formylfuran-3-yl)methyl phosphate [M]+",104.196,70.213,350.186,315.906,0.298,-1.749,6.15e-05,0.00062,1.68,0.505
"5,7,4'-Trihydroxyflavanone 7-(2,6-dirhamnosylglu... [M]+",440.669,310.543,714.823,1074.527,0.616,-0.698,0.171,0.346,0.608,0.178
"MSI00339",108.262,65.936,84.21,92.009,1.286,0.362,0.234,0.408,0.529,-0.156
"Indole-3-acetyl-myo-inositol [M]+",653.584,43.717,212.363,458.118,3.078,1.622,1.02e-06,1.32e-05,1.989,-0.57
"(4R,5R)-1,2-dithiane-4,5-diol [M+NH4]+",125.825,64.198,95.284,149.719,1.32,0.401,0.293,0.462,0.468,-0.149
"MSI00342",21.016,41.165,67.161,53.588,0.313,-1.676,0.00027,0.00238,1.544,0.452
"Lecithin [M-H2O+NH4]+",57.532,16.22,101.849,95.379,0.565,-0.824,0.0119,0.0656,1.096,0.299
"Lecithin [M+NH4]+_4",95.063,89.514,88.302,171.281,1.077,0.106,0.844,0.889,0.088,-0.043
"O2 [M]+_1",142.756,138.897,452.229,538.82,0.316,-1.664,0.00254,0.0169,1.301,0.361
"O3 [M+H]+",61.643,45.623,92.162,89.605,0.669,-0.58,0.091,0.258,0.747,0.214
"MSI00347",108.262,65.936,84.21,92.009,1.286,0.362,0.234,0.408,0.529,-0.156
"5'-Dehydroadenosine [M]+",754.486,50.466,92.862,194.087,8.125,3.022,3.95e-27,2.19e-24,3.23,-0.929
"Iodo-gen [M+H-H2O]+",150.968,86.763,304.009,456.888,0.497,-1.01,0.0674,0.221,0.807,0.216
"Nicotine [M+H]+",595.887,39.858,282.355,628.197,2.11,1.077,0.00648,0.039,1.181,-0.347
"PA(i-24:0/i-24:0) [M+Na]+",68.456,63.814,57.434,22.916,1.192,0.253,0.361,0.518,0.407,-0.121
"23412-97-7 [M]+",32.353,45.393,251.069,276.551,0.129,-2.956,4.12e-05,0.000422,1.715,0.503
"MSI00353",62.904,4.208,233.122,159.232,0.27,-1.89,9.34e-08,1.42e-06,2.135,0.607
"MSI00354",90.496,82.177,154.358,314.935,0.586,-0.77,0.271,0.443,0.489,0.149
